Id,Level,FechaRegistro,Message
63,advertencia,2026-04-28T18:46:36.676741,"ActivityRecognition no confirmo, arrancando GPS por fallback"
64,advertencia,2026-04-28T18:46:46.689156,"ActivityRecognition no confirmo, arrancando GPS por fallback"
65,exito,2026-04-28T18:48:04.418163,"Variables de entorno cargadas correctamente"
66,exito,2026-04-28T18:48:04.462780,"Watchdog Workmanager registrado (cada 15 min)"
67,info,2026-04-28T18:48:04.622973,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42821 min)."
68,advertencia,2026-04-28T18:48:04.623969,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
69,exito,2026-04-28T18:48:07.187061,"Interfaz lista. Procesando logica de fondo..."
70,exito,2026-04-28T18:48:07.199018,"Usando velocidad maxima: 40.0 km/h"
71,exito,2026-04-28T18:48:10.069671,"Viajes sincronizados (1)."
72,advertencia,2026-04-28T18:48:10.076863,"No hay errores para sincronizar."
73,exito,2026-04-28T18:48:10.077055,"Ventana iniciada."
74,exito,2026-04-28T18:48:10.077092,"Configuracion obtenida."
75,advertencia,2026-04-28T18:48:59.249144,"Manipulación de celular detectada"
76,advertencia,2026-04-28T18:49:16.616056,"Manipulación de celular detectada"
77,exito,2026-04-28T18:49:47.214766,"Interfaz lista. Procesando logica de fondo..."
78,exito,2026-04-28T18:49:47.224761,"Usando velocidad maxima: 40.0 km/h"
79,advertencia,2026-04-28T18:49:47.305731,"No hay viaje para sincronizar."
80,advertencia,2026-04-28T18:49:47.321126,"No hay errores para sincronizar."
81,exito,2026-04-28T18:49:47.321349,"Ventana iniciada."
82,exito,2026-04-28T18:49:47.321389,"Configuracion obtenida."
83,exito,2026-04-28T18:49:59.930597,"Interfaz lista. Procesando logica de fondo..."
84,exito,2026-04-28T18:49:59.935006,"Usando velocidad maxima: 40.0 km/h"
85,advertencia,2026-04-28T18:49:59.944509,"No hay viaje para sincronizar."
86,advertencia,2026-04-28T18:49:59.951330,"No hay errores para sincronizar."
87,exito,2026-04-28T18:49:59.951359,"Ventana iniciada."
88,exito,2026-04-28T18:49:59.951368,"Configuracion obtenida."
89,exito,2026-04-28T18:51:55.296141,"UI ABIERTA"
90,exito,2026-04-28T18:52:12.381584,"UI ABIERTA"
91,exito,2026-04-28T18:52:15.204097,"UI ABIERTA"
92,exito,2026-04-28T18:52:36.015197,"UI ABIERTA"
93,advertencia,2026-04-28T18:53:28.583848,"Manipulación de celular detectada"
94,error,2026-04-28T18:53:56.092425,"UI EN BACKGROUND"
95,advertencia,2026-04-28T18:54:06.253596,"Manipulación de celular detectada"
96,info,2026-04-28T18:54:07.800376,"🐕 watchdog: tick 2026-04-28T18:54:07.796217 (task=syscaf_background_watchdog)"
97,info,2026-04-28T18:54:07.805226,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42815 min)."
98,advertencia,2026-04-28T18:54:07.805288,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
99,info,2026-04-28T18:54:07.806340,"🐕 watchdog: isRunning=true"
100,error,2026-04-28T18:54:07.817190,"🐕 watchdog: heartbeat AVL viejo (34m). Servicio reportado vivo pero AVL no late."
101,advertencia,2026-04-28T18:54:11.628190,"Manipulación de celular detectada"
102,advertencia,2026-04-28T18:54:20.030932,"Manipulación de celular detectada"
103,advertencia,2026-04-28T18:54:31.845567,"Manipulación de celular detectada"
104,advertencia,2026-04-28T18:54:36.854217,"Manipulación de celular detectada"
105,advertencia,2026-04-28T18:54:41.973635,"Manipulación de celular detectada"
106,exito,2026-04-28T18:54:46.811506,"Giro brusco detectado: 2.3229660987854004"
107,advertencia,2026-04-28T18:54:46.976871,"Manipulación de celular detectada"
108,advertencia,2026-04-28T18:54:52.021024,"Manipulación de celular detectada"
109,exito,2026-04-28T18:54:52.477738,"Giro brusco detectado: 2.325409412384033"
110,advertencia,2026-04-28T18:54:57.180024,"Manipulación de celular detectada"
111,advertencia,2026-04-28T18:55:02.705480,"Manipulación de celular detectada"
112,advertencia,2026-04-28T18:55:08.018959,"Manipulación de celular detectada"
113,advertencia,2026-04-28T18:55:13.130242,"Manipulación de celular detectada"
114,advertencia,2026-04-28T18:55:18.458831,"Manipulación de celular detectada"
115,advertencia,2026-04-28T18:55:23.783345,"Manipulación de celular detectada"
116,advertencia,2026-04-28T18:55:29.913596,"Manipulación de celular detectada"
117,advertencia,2026-04-28T18:55:35.224372,"Manipulación de celular detectada"
118,advertencia,2026-04-28T18:55:41.760107,"Manipulación de celular detectada"
119,advertencia,2026-04-28T18:55:47.691554,"Manipulación de celular detectada"
120,advertencia,2026-04-28T18:55:56.271006,"Manipulación de celular detectada"
121,advertencia,2026-04-28T18:56:06.907625,"Manipulación de celular detectada"
122,advertencia,2026-04-28T18:56:18.954934,"Manipulación de celular detectada"
123,advertencia,2026-04-28T18:56:29.377006,"Manipulación de celular detectada"
124,advertencia,2026-04-28T18:56:34.493658,"Manipulación de celular detectada"
125,exito,2026-04-28T18:56:39.185370,"Giro brusco detectado: 5.127904415130615"
126,advertencia,2026-04-28T18:56:39.595987,"Manipulación de celular detectada"
127,advertencia,2026-04-28T18:56:44.838582,"Manipulación de celular detectada"
128,exito,2026-04-28T18:56:45.247079,"Giro brusco detectado: 2.3034183979034424"
129,advertencia,2026-04-28T18:56:50.763168,"Manipulación de celular detectada"
130,advertencia,2026-04-28T18:56:56.423898,"Manipulación de celular detectada"
131,advertencia,2026-04-28T18:57:01.528612,"Manipulación de celular detectada"
132,advertencia,2026-04-28T18:57:08.009359,"Manipulación de celular detectada"
133,advertencia,2026-04-28T18:57:26.148421,"Manipulación de celular detectada"
134,exito,2026-04-28T18:57:26.839741,"Giro brusco detectado: 2.313497543334961"
135,advertencia,2026-04-28T18:57:32.485460,"Manipulación de celular detectada"
136,advertencia,2026-04-28T18:57:43.012436,"Manipulación de celular detectada"
137,exito,2026-04-28T18:57:46.672939,"Giro brusco detectado: 2.3183846473693848"
138,advertencia,2026-04-28T18:57:49.740641,"Manipulación de celular detectada"
139,advertencia,2026-04-28T18:57:53.917011,"Fin de viaje (cond.1 VEHICULO_DETENIDO): vel=0.41km/h desp=0.06m sostenido 120s."
140,exito,2026-04-28T18:57:54.897182,"Viajes sincronizados (1)."
141,advertencia,2026-04-28T18:58:19.463486,"ActivityRecognition no confirmo, arrancando GPS por fallback"
142,advertencia,2026-04-28T18:58:25.471726,"ActivityRecognition no confirmo, arrancando GPS por fallback"
143,advertencia,2026-04-28T18:58:28.485858,"ActivityRecognition no confirmo, arrancando GPS por fallback"
144,advertencia,2026-04-28T18:58:31.499013,"ActivityRecognition no confirmo, arrancando GPS por fallback"
145,advertencia,2026-04-28T18:58:34.514058,"ActivityRecognition no confirmo, arrancando GPS por fallback"
146,advertencia,2026-04-28T18:58:37.528763,"ActivityRecognition no confirmo, arrancando GPS por fallback"
147,advertencia,2026-04-28T18:58:40.542081,"ActivityRecognition no confirmo, arrancando GPS por fallback"
148,advertencia,2026-04-28T18:58:43.557335,"ActivityRecognition no confirmo, arrancando GPS por fallback"
149,advertencia,2026-04-28T18:58:52.501077,"ActivityRecognition no confirmo, arrancando GPS por fallback"
150,exito,2026-04-28T19:00:22.845733,"UI ABIERTA"
151,advertencia,2026-04-28T19:00:30.056460,"Manipulación de celular detectada"
152,advertencia,2026-04-28T19:01:04.353206,"Manipulación de celular detectada"
153,exito,2026-04-28T19:01:49.380053,"Interfaz lista. Procesando logica de fondo..."
154,exito,2026-04-28T19:01:49.390849,"Usando velocidad maxima: 40.0 km/h"
155,exito,2026-04-28T19:01:50.455303,"Viajes sincronizados (1)."
156,advertencia,2026-04-28T19:01:50.464884,"No hay errores para sincronizar."
157,exito,2026-04-28T19:01:50.464914,"Ventana iniciada."
158,exito,2026-04-28T19:01:50.464922,"Configuracion obtenida."
159,exito,2026-04-28T19:02:05.953169,"Interfaz lista. Procesando logica de fondo..."
160,exito,2026-04-28T19:02:05.972320,"Usando velocidad maxima: 40.0 km/h"
161,advertencia,2026-04-28T19:02:06.008174,"No hay viaje para sincronizar."
162,advertencia,2026-04-28T19:02:06.032205,"No hay errores para sincronizar."
163,exito,2026-04-28T19:02:06.032248,"Ventana iniciada."
164,exito,2026-04-28T19:02:06.032292,"Configuracion obtenida."
165,advertencia,2026-04-28T19:02:08.125782,"Manipulación de celular detectada"
166,advertencia,2026-04-28T19:02:55.338427,"Manipulación de celular detectada"
167,error,2026-04-28T19:02:56.372884,"UI EN BACKGROUND"
168,advertencia,2026-04-28T19:03:26.037880,"Manipulación de celular detectada"
169,exito,2026-04-28T19:03:26.236871,"Giro brusco detectado: 3.18550705909729"
170,exito,2026-04-28T19:03:28.030238,"UI ABIERTA"
171,exito,2026-04-28T19:03:31.382714,"UI ABIERTA"
172,advertencia,2026-04-28T19:03:40.911899,"Fin de viaje (cond.1 VEHICULO_DETENIDO): vel=0.00km/h desp=0.00m sostenido 121s."
173,exito,2026-04-28T19:03:41.777719,"Viajes sincronizados (1)."
174,exito,2026-04-28T19:03:55.134169,"UI ABIERTA"
175,exito,2026-04-28T19:03:56.964420,"UI ABIERTA"
176,exito,2026-04-28T19:04:05.800784,"Interfaz lista. Procesando logica de fondo..."
177,exito,2026-04-28T19:04:05.811485,"Usando velocidad maxima: 40.0 km/h"
178,advertencia,2026-04-28T19:04:05.826902,"No hay viaje para sincronizar."
179,advertencia,2026-04-28T19:04:05.834128,"No hay errores para sincronizar."
180,exito,2026-04-28T19:04:05.834164,"Ventana iniciada."
181,exito,2026-04-28T19:04:05.834175,"Configuracion obtenida."
182,exito,2026-04-28T19:04:39.596766,"Configuracion DELTA_MOV actualizada correctamente"
183,exito,2026-04-28T19:04:51.149501,"Configuracion AVL actualizada correctamente"
184,exito,2026-04-28T19:05:08.711150,"Interfaz lista. Procesando logica de fondo..."
185,exito,2026-04-28T19:05:08.719630,"Usando velocidad maxima: 40.0 km/h"
186,advertencia,2026-04-28T19:05:08.924782,"No hay viaje para sincronizar."
187,advertencia,2026-04-28T19:05:08.938770,"No hay errores para sincronizar."
188,exito,2026-04-28T19:05:08.938931,"Ventana iniciada."
189,exito,2026-04-28T19:05:08.938951,"Configuracion obtenida."
190,info,2026-04-28T19:09:07.933903,"🐕 watchdog: tick 2026-04-28T19:09:07.917911 (task=syscaf_background_watchdog)"
191,info,2026-04-28T19:09:07.943616,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42800 min)."
192,advertencia,2026-04-28T19:09:07.943726,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
193,info,2026-04-28T19:09:07.945391,"🐕 watchdog: isRunning=true"
194,error,2026-04-28T19:09:07.951620,"🐕 watchdog: heartbeat AVL viejo (49m). Servicio reportado vivo pero AVL no late."
195,info,2026-04-28T19:09:40.646225,"❤️ AVL alive tick #20 (cada 300s)"
196,info,2026-04-28T19:24:08.066724,"🐕 watchdog: tick 2026-04-28T19:24:08.057148 (task=syscaf_background_watchdog)"
197,info,2026-04-28T19:24:08.073980,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42785 min)."
198,advertencia,2026-04-28T19:24:08.074050,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
199,info,2026-04-28T19:24:08.075667,"🐕 watchdog: isRunning=true"
200,info,2026-04-28T19:39:08.191537,"🐕 watchdog: tick 2026-04-28T19:39:08.179841 (task=syscaf_background_watchdog)"
201,info,2026-04-28T19:39:08.199052,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42770 min)."
202,advertencia,2026-04-28T19:39:08.199141,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
203,info,2026-04-28T19:39:08.200342,"🐕 watchdog: isRunning=true"
204,error,2026-04-28T19:39:08.213064,"🐕 watchdog: heartbeat AVL viejo (29m). Servicio reportado vivo pero AVL no late."
205,advertencia,2026-04-28T19:48:44.016769,"ActivityRecognition no confirmo, arrancando GPS por fallback"
206,advertencia,2026-04-28T19:48:47.024871,"ActivityRecognition no confirmo, arrancando GPS por fallback"
207,advertencia,2026-04-28T19:53:49.355587,"ActivityRecognition no confirmo, arrancando GPS por fallback"
208,info,2026-04-28T19:54:08.341196,"🐕 watchdog: tick 2026-04-28T19:54:08.333580 (task=syscaf_background_watchdog)"
209,info,2026-04-28T19:54:08.350714,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42755 min)."
210,advertencia,2026-04-28T19:54:08.350806,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
211,info,2026-04-28T19:54:08.352112,"🐕 watchdog: isRunning=true"
212,error,2026-04-28T19:54:08.366726,"🐕 watchdog: heartbeat AVL viejo (44m). Servicio reportado vivo pero AVL no late."
213,advertencia,2026-04-28T19:57:24.671771,"ActivityRecognition no confirmo, arrancando GPS por fallback"
214,info,2026-04-28T19:59:40.646792,"❤️ AVL alive tick #30 (cada 300s)"
215,advertencia,2026-04-28T20:06:06.804775,"ActivityRecognition no confirmo, arrancando GPS por fallback"
216,info,2026-04-28T20:09:08.457629,"🐕 watchdog: tick 2026-04-28T20:09:08.446007 (task=syscaf_background_watchdog)"
217,info,2026-04-28T20:09:08.461093,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42740 min)."
218,advertencia,2026-04-28T20:09:08.461145,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
219,info,2026-04-28T20:09:08.462221,"🐕 watchdog: isRunning=true"
220,info,2026-04-28T20:24:08.562162,"🐕 watchdog: tick 2026-04-28T20:24:08.557338 (task=syscaf_background_watchdog)"
221,info,2026-04-28T20:24:08.565512,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42725 min)."
222,advertencia,2026-04-28T20:24:08.565553,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
223,info,2026-04-28T20:24:08.566540,"🐕 watchdog: isRunning=true"
224,error,2026-04-28T20:24:08.570562,"🐕 watchdog: heartbeat AVL viejo (24m). Servicio reportado vivo pero AVL no late."
225,info,2026-04-28T20:39:08.693084,"🐕 watchdog: tick 2026-04-28T20:39:08.683427 (task=syscaf_background_watchdog)"
226,info,2026-04-28T20:39:08.702742,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42710 min)."
227,advertencia,2026-04-28T20:39:08.702818,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
228,info,2026-04-28T20:39:08.704148,"🐕 watchdog: isRunning=true"
229,error,2026-04-28T20:39:08.723251,"🐕 watchdog: heartbeat AVL viejo (39m). Servicio reportado vivo pero AVL no late."
230,info,2026-04-28T20:49:40.645453,"❤️ AVL alive tick #40 (cada 300s)"
231,info,2026-04-28T20:54:08.825381,"🐕 watchdog: tick 2026-04-28T20:54:08.817695 (task=syscaf_background_watchdog)"
232,info,2026-04-28T20:54:08.834426,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42695 min)."
233,advertencia,2026-04-28T20:54:08.834482,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
234,info,2026-04-28T20:54:08.835914,"🐕 watchdog: isRunning=true"
235,info,2026-04-28T21:09:08.943197,"🐕 watchdog: tick 2026-04-28T21:09:08.935730 (task=syscaf_background_watchdog)"
236,info,2026-04-28T21:09:08.950255,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42680 min)."
237,advertencia,2026-04-28T21:09:08.950300,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
238,info,2026-04-28T21:09:08.951415,"🐕 watchdog: isRunning=true"
239,info,2026-04-28T21:24:09.069243,"🐕 watchdog: tick 2026-04-28T21:24:09.055825 (task=syscaf_background_watchdog)"
240,info,2026-04-28T21:24:09.074068,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42665 min)."
241,advertencia,2026-04-28T21:24:09.074164,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
242,info,2026-04-28T21:24:09.075212,"🐕 watchdog: isRunning=true"
243,error,2026-04-28T21:24:09.082658,"🐕 watchdog: heartbeat AVL viejo (34m). Servicio reportado vivo pero AVL no late."
244,info,2026-04-28T21:39:09.185940,"🐕 watchdog: tick 2026-04-28T21:39:09.179979 (task=syscaf_background_watchdog)"
245,info,2026-04-28T21:39:09.191621,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42650 min)."
246,advertencia,2026-04-28T21:39:09.191682,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
247,info,2026-04-28T21:39:09.192998,"🐕 watchdog: isRunning=true"
248,error,2026-04-28T21:39:09.202730,"🐕 watchdog: heartbeat AVL viejo (49m). Servicio reportado vivo pero AVL no late."
249,info,2026-04-28T21:39:40.647493,"❤️ AVL alive tick #50 (cada 300s)"
250,info,2026-04-28T21:54:09.333896,"🐕 watchdog: tick 2026-04-28T21:54:09.318633 (task=syscaf_background_watchdog)"
251,info,2026-04-28T21:54:09.339728,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42635 min)."
252,advertencia,2026-04-28T21:54:09.339860,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
253,info,2026-04-28T21:54:09.341552,"🐕 watchdog: isRunning=true"
254,info,2026-04-28T22:09:09.420523,"🐕 watchdog: tick 2026-04-28T22:09:09.416096 (task=syscaf_background_watchdog)"
255,info,2026-04-28T22:09:09.425398,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42620 min)."
256,advertencia,2026-04-28T22:09:09.425429,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
257,info,2026-04-28T22:09:09.426319,"🐕 watchdog: isRunning=true"
258,error,2026-04-28T22:09:09.433502,"🐕 watchdog: heartbeat AVL viejo (29m). Servicio reportado vivo pero AVL no late."
259,advertencia,2026-04-28T22:14:35.569992,"ActivityRecognition no confirmo, arrancando GPS por fallback"
260,info,2026-04-28T22:24:09.498745,"🐕 watchdog: tick 2026-04-28T22:24:09.494053 (task=syscaf_background_watchdog)"
261,info,2026-04-28T22:24:09.504872,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42605 min)."
262,advertencia,2026-04-28T22:24:09.504938,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
263,info,2026-04-28T22:24:09.505993,"🐕 watchdog: isRunning=true"
