Id,Level,FechaRegistro,Message
59,advertencia,2026-04-30T15:53:52.845111,"ActivityRecognition no confirmo, arrancando GPS por fallback"
60,advertencia,2026-04-30T15:53:56.510144,"ActivityRecognition no confirmo, arrancando GPS por fallback"
61,advertencia,2026-04-30T15:53:59.861010,"ActivityRecognition no confirmo, arrancando GPS por fallback"
62,exito,2026-04-30T15:54:00.037584,"UI ABIERTA"
63,advertencia,2026-04-30T15:54:11.948518,"ActivityRecognition no confirmo, arrancando GPS por fallback"
64,advertencia,2026-04-30T15:54:15.029837,"ActivityRecognition no confirmo, arrancando GPS por fallback"
65,advertencia,2026-04-30T15:54:20.539393,"ActivityRecognition no confirmo, arrancando GPS por fallback"
66,advertencia,2026-04-30T15:54:25.979038,"ActivityRecognition no confirmo, arrancando GPS por fallback"
67,advertencia,2026-04-30T15:54:32.536920,"ActivityRecognition no confirmo, arrancando GPS por fallback"
68,advertencia,2026-04-30T15:54:35.543455,"ActivityRecognition no confirmo, arrancando GPS por fallback"
69,advertencia,2026-04-30T15:54:39.346687,"ActivityRecognition no confirmo, arrancando GPS por fallback"
70,error,2026-04-30T15:54:40.768595,"UI EN BACKGROUND"
71,advertencia,2026-04-30T15:54:42.354248,"ActivityRecognition no confirmo, arrancando GPS por fallback"
72,advertencia,2026-04-30T15:54:45.376181,"ActivityRecognition no confirmo, arrancando GPS por fallback"
73,advertencia,2026-04-30T15:54:48.598622,"ActivityRecognition no confirmo, arrancando GPS por fallback"
74,exito,2026-04-30T15:54:51.088734,"UI ABIERTA"
75,advertencia,2026-04-30T15:54:51.762767,"ActivityRecognition no confirmo, arrancando GPS por fallback"
76,exito,2026-04-30T15:55:23.028754,"UI ABIERTA"
77,advertencia,2026-04-30T15:55:23.463677,"ActivityRecognition no confirmo, arrancando GPS por fallback"
78,advertencia,2026-04-30T15:55:26.616544,"ActivityRecognition no confirmo, arrancando GPS por fallback"
79,error,2026-04-30T15:55:34.926345,"UI EN BACKGROUND"
80,exito,2026-04-30T15:55:39.072089,"Variables de entorno cargadas correctamente"
81,exito,2026-04-30T15:55:39.083686,"Watchdog Workmanager registrado (cada 15 min)"
82,info,2026-04-30T15:55:39.376880,"SessionService: token vigente, vence 2026-05-30T10:49:43.000 (restan 42894 min)."
83,advertencia,2026-04-30T15:55:39.377228,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""ec28812e-33a9-4cb8-9db1-66de5c07467b""."
84,exito,2026-04-30T15:55:41.588067,"Interfaz lista. Procesando logica de fondo..."
85,exito,2026-04-30T15:55:41.598662,"Usando velocidad maxima: 40.0 km/h"
86,advertencia,2026-04-30T15:55:41.680749,"No hay viaje para sincronizar."
87,advertencia,2026-04-30T15:55:41.689751,"No hay errores para sincronizar."
88,exito,2026-04-30T15:55:41.689957,"Ventana iniciada."
89,exito,2026-04-30T15:55:41.689991,"Configuracion obtenida."
90,error,2026-04-30T15:56:37.999036,"UI EN BACKGROUND"
91,exito,2026-04-30T15:56:40.228459,"Variables de entorno cargadas correctamente"
92,exito,2026-04-30T15:56:40.236385,"Watchdog Workmanager registrado (cada 15 min)"
93,info,2026-04-30T15:56:40.414895,"SessionService: token vigente, vence 2026-05-30T10:49:43.000 (restan 42893 min)."
